INFO:root:File download successful
INFO:root:Creating folder
INFO:root:Bhavdata file copied from the dowloads folder
INFO:root:Create record 80 :Symbol-ALLSEC, Date-2020-10-07, Series-EQ
INFO:root:Create record 81 :Symbol-ALMONDZ, Date-2020-10-07, Series-EQ
INFO:root:Create record 82 :Symbol-ALOKINDS, Date-2020-10-07, Series-EQ
INFO:root:Create record 83 :Symbol-ALPA, Date-2020-10-07, Series-EQ
INFO:root:Create record 84 :Symbol-ALPHAGEO, Date-2020-10-07, Series-EQ
INFO:root:Create record 85 :Symbol-ALPSINDUS, Date-2020-10-07, Series-EQ
INFO:root:Create record 86 :Symbol-AMARAJABAT, Date-2020-10-07, Series-EQ
INFO:root:Create record 87 :Symbol-AMBER, Date-2020-10-07, Series-EQ
INFO:root:Create record 88 :Symbol-AMBIKCO, Date-2020-10-07, Series-EQ
INFO:root:Create record 89 :Symbol-AMBUJACEM, Date-2020-10-07, Series-EQ
INFO:root:Create record 90 :Symbol-AMDIND, Date-2020-10-07, Series-EQ
INFO:root:Create record 91 :Symbol-AMJLAND, Date-2020-10-07, Series-EQ
INFO:root:Create record 92 :Symbol-AMJUMBO, Date-2020-10-07, Series-SM
INFO:root:Create record 93 :Symbol-AMRUTANJAN, Date-2020-10-07, Series-EQ
INFO:root:Create record 94 :Symbol-ANANTRAJ, Date-2020-10-07, Series-BE
INFO:root:Create record 95 :Symbol-ANDHRACEMT, Date-2020-10-07, Series-EQ
INFO:root:Create record 96 :Symbol-ANDHRAPAP, Date-2020-10-07, Series-EQ
INFO:root:Create record 97 :Symbol-ANDHRSUGAR, Date-2020-10-07, Series-EQ
INFO:root:Create record 98 :Symbol-ANGELBRKG, Date-2020-10-07, Series-EQ
INFO:root:Create record 99 :Symbol-ANIKINDS, Date-2020-10-07, Series-EQ
INFO:root:Create record 100 :Symbol-ANKITMETAL, Date-2020-10-07, Series-BE
INFO:root:Create record 101 :Symbol-ANSALAPI, Date-2020-10-07, Series-EQ
INFO:root:Create record 102 :Symbol-ANSALHSG, Date-2020-10-07, Series-EQ
INFO:root:Create record 103 :Symbol-ANUP, Date-2020-10-07, Series-EQ
INFO:root:Create record 104 :Symbol-APARINDS, Date-2020-10-07, Series-EQ
INFO:root:Create record 105 :Symbol-APCL, Date-2020-10-07, Series-EQ
INFO:root:Create record 106 :Symbol-APCOTEXIND, Date-2020-10-07, Series-EQ
INFO:root:Create record 107 :Symbol-APEX, Date-2020-10-07, Series-EQ
INFO:root:Create record 108 :Symbol-APLAPOLLO, Date-2020-10-07, Series-EQ
INFO:root:Create record 109 :Symbol-APLLTD, Date-2020-10-07, Series-EQ
INFO:root:Create record 110 :Symbol-APOLLO, Date-2020-10-07, Series-EQ
INFO:root:Create record 111 :Symbol-APOLLOHOSP, Date-2020-10-07, Series-EQ
INFO:root:Create record 112 :Symbol-APOLLOPIPE, Date-2020-10-07, Series-EQ
INFO:root:Create record 113 :Symbol-APOLLOTYRE, Date-2020-10-07, Series-EQ
INFO:root:Create record 114 :Symbol-APOLSINHOT, Date-2020-10-07, Series-EQ
INFO:root:Create record 115 :Symbol-APTECHT, Date-2020-10-07, Series-EQ
INFO:root:Create record 116 :Symbol-ARCHIDPLY, Date-2020-10-07, Series-EQ
INFO:root:Create record 117 :Symbol-ARCHIES, Date-2020-10-07, Series-EQ
INFO:root:Create record 118 :Symbol-ARCOTECH, Date-2020-10-07, Series-BE
INFO:root:Create record 119 :Symbol-ARENTERP, Date-2020-10-07, Series-EQ
INFO:root:Create record 120 :Symbol-ARIES, Date-2020-10-07, Series-EQ
INFO:root:Create record 121 :Symbol-ARIHANT, Date-2020-10-07, Series-EQ
INFO:root:Create record 122 :Symbol-ARIHANTSUP, Date-2020-10-07, Series-EQ
INFO:root:Create record 123 :Symbol-ARMANFIN, Date-2020-10-07, Series-EQ
INFO:root:Create record 124 :Symbol-AROGRANITE, Date-2020-10-07, Series-EQ
INFO:root:Create record 125 :Symbol-ARROWGREEN, Date-2020-10-07, Series-EQ
INFO:root:Create record 126 :Symbol-ARSHIYA, Date-2020-10-07, Series-EQ
INFO:root:Create record 127 :Symbol-ARSSINFRA, Date-2020-10-07, Series-EQ
INFO:root:Create record 128 :Symbol-ARTEMISMED, Date-2020-10-07, Series-EQ
INFO:root:Create record 129 :Symbol-ARVIND, Date-2020-10-07, Series-EQ
INFO:root:Create record 130 :Symbol-ARVINDFASN, Date-2020-10-07, Series-EQ
INFO:root:Create record 131 :Symbol-ARVSMART, Date-2020-10-07, Series-EQ
