INFO:root:File download successful
INFO:root:Creating folder
INFO:root:Bhavdata file copied from the dowloads folder
INFO:root:Create record 75 :Symbol-AJMERA, Date-2020-11-12, Series-EQ
INFO:root:Create record 76 :Symbol-AKASH, Date-2020-11-12, Series-EQ
INFO:root:Create record 77 :Symbol-AKG, Date-2020-11-12, Series-SM
INFO:root:Create record 78 :Symbol-AKSHARCHEM, Date-2020-11-12, Series-EQ
INFO:root:Create record 79 :Symbol-AKSHOPTFBR, Date-2020-11-12, Series-EQ
INFO:root:Create record 80 :Symbol-AKZOINDIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 81 :Symbol-ALANKIT, Date-2020-11-12, Series-EQ
INFO:root:Create record 82 :Symbol-ALBERTDAVD, Date-2020-11-12, Series-EQ
INFO:root:Create record 83 :Symbol-ALCHEM, Date-2020-11-12, Series-EQ
INFO:root:Create record 84 :Symbol-ALEMBICLTD, Date-2020-11-12, Series-EQ
INFO:root:Create record 85 :Symbol-ALICON, Date-2020-11-12, Series-EQ
INFO:root:Create record 86 :Symbol-ALKALI, Date-2020-11-12, Series-EQ
INFO:root:Create record 87 :Symbol-ALKEM, Date-2020-11-12, Series-EQ
INFO:root:Create record 88 :Symbol-ALKYLAMINE, Date-2020-11-12, Series-EQ
INFO:root:Create record 89 :Symbol-ALLCARGO, Date-2020-11-12, Series-EQ
INFO:root:Create record 90 :Symbol-ALLSEC, Date-2020-11-12, Series-EQ
INFO:root:Create record 91 :Symbol-ALMONDZ, Date-2020-11-12, Series-EQ
INFO:root:Create record 92 :Symbol-ALOKINDS, Date-2020-11-12, Series-EQ
INFO:root:Create record 93 :Symbol-ALPA, Date-2020-11-12, Series-BE
INFO:root:Create record 94 :Symbol-ALPHAGEO, Date-2020-11-12, Series-EQ
INFO:root:Create record 95 :Symbol-AMARAJABAT, Date-2020-11-12, Series-EQ
INFO:root:Create record 96 :Symbol-AMBER, Date-2020-11-12, Series-EQ
INFO:root:Create record 97 :Symbol-AMBIKCO, Date-2020-11-12, Series-EQ
INFO:root:Create record 98 :Symbol-AMBUJACEM, Date-2020-11-12, Series-EQ
INFO:root:Create record 99 :Symbol-AMDIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 100 :Symbol-AMJLAND, Date-2020-11-12, Series-EQ
INFO:root:Create record 101 :Symbol-AMJUMBO, Date-2020-11-12, Series-SM
INFO:root:Create record 102 :Symbol-AMRUTANJAN, Date-2020-11-12, Series-EQ
INFO:root:Create record 103 :Symbol-ANANTRAJ, Date-2020-11-12, Series-EQ
INFO:root:Create record 104 :Symbol-ANDHRACEMT, Date-2020-11-12, Series-EQ
INFO:root:Create record 105 :Symbol-ANDHRAPAP, Date-2020-11-12, Series-EQ
INFO:root:Create record 106 :Symbol-ANDHRSUGAR, Date-2020-11-12, Series-EQ
INFO:root:Create record 107 :Symbol-ANGELBRKG, Date-2020-11-12, Series-EQ
INFO:root:Create record 108 :Symbol-ANIKINDS, Date-2020-11-12, Series-EQ
INFO:root:Create record 109 :Symbol-ANKITMETAL, Date-2020-11-12, Series-EQ
INFO:root:Create record 110 :Symbol-ANSALAPI, Date-2020-11-12, Series-EQ
INFO:root:Create record 111 :Symbol-ANSALHSG, Date-2020-11-12, Series-EQ
INFO:root:Create record 112 :Symbol-ANUP, Date-2020-11-12, Series-EQ
INFO:root:Create record 113 :Symbol-APARINDS, Date-2020-11-12, Series-EQ
INFO:root:Create record 114 :Symbol-APCL, Date-2020-11-12, Series-EQ
INFO:root:Create record 115 :Symbol-APCOTEXIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 116 :Symbol-APEX, Date-2020-11-12, Series-EQ
INFO:root:Create record 117 :Symbol-APLAPOLLO, Date-2020-11-12, Series-EQ
INFO:root:Create record 118 :Symbol-APLLTD, Date-2020-11-12, Series-EQ
INFO:root:Create record 119 :Symbol-APOLLO, Date-2020-11-12, Series-EQ
INFO:root:Create record 120 :Symbol-APOLLOHOSP, Date-2020-11-12, Series-EQ
INFO:root:Create record 121 :Symbol-APOLLOPIPE, Date-2020-11-12, Series-EQ
INFO:root:Create record 122 :Symbol-APOLLOTYRE, Date-2020-11-12, Series-EQ
INFO:root:Create record 123 :Symbol-APOLSINHOT, Date-2020-11-12, Series-EQ
INFO:root:Create record 124 :Symbol-APTECHT, Date-2020-11-12, Series-EQ
INFO:root:Create record 125 :Symbol-ARCHIDPLY, Date-2020-11-12, Series-EQ
INFO:root:Create record 126 :Symbol-ARCHIES, Date-2020-11-12, Series-EQ
INFO:root:Create record 127 :Symbol-ARCOTECH, Date-2020-11-12, Series-EQ
INFO:root:Create record 128 :Symbol-ARENTERP, Date-2020-11-12, Series-EQ
INFO:root:Create record 129 :Symbol-ARIES, Date-2020-11-12, Series-EQ
INFO:root:Create record 130 :Symbol-ARIHANT, Date-2020-11-12, Series-EQ
INFO:root:Create record 131 :Symbol-ARIHANTSUP, Date-2020-11-12, Series-EQ
INFO:root:Create record 132 :Symbol-ARMANFIN, Date-2020-11-12, Series-EQ
INFO:root:Create record 133 :Symbol-AROGRANITE, Date-2020-11-12, Series-EQ
INFO:root:Create record 134 :Symbol-ARROWGREEN, Date-2020-11-12, Series-EQ
INFO:root:Create record 135 :Symbol-ARSHIYA, Date-2020-11-12, Series-EQ
INFO:root:Create record 136 :Symbol-ARSSINFRA, Date-2020-11-12, Series-EQ
INFO:root:Create record 137 :Symbol-ARTEMISMED, Date-2020-11-12, Series-EQ
INFO:root:Create record 138 :Symbol-ARVIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 139 :Symbol-ARVINDFASN, Date-2020-11-12, Series-EQ
INFO:root:Create record 140 :Symbol-ARVSMART, Date-2020-11-12, Series-EQ
INFO:root:Create record 141 :Symbol-ASAHIINDIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 142 :Symbol-ASAHISONG, Date-2020-11-12, Series-EQ
