INFO:root:File download successful
INFO:root:Folder already exists
INFO:root:File moved to target folder:C:\Users\Arijit Ganguly\Documents\PythonProjects\stock_analysis\data\01102020\sec_bhavdata_full_01102020.csv
INFO:root:File download successful
INFO:root:Folder already exists
INFO:root:File moved to target folder:C:\Users\Arijit Ganguly\Documents\PythonProjects\stock_analysis\data\01102020\sec_bhavdata_full_01102020.csv
INFO:root:Create record 0 :Symbol-20MICRONS, Date-2020-10-01, Series-EQ
INFO:root:Create record 78 :Symbol-ALLCARGO, Date-2020-10-01, Series-EQ
INFO:root:Create record 79 :Symbol-ALLSEC, Date-2020-10-01, Series-EQ
INFO:root:Create record 80 :Symbol-ALMONDZ, Date-2020-10-01, Series-EQ
INFO:root:Create record 81 :Symbol-ALOKINDS, Date-2020-10-01, Series-EQ
INFO:root:Create record 82 :Symbol-ALPA, Date-2020-10-01, Series-EQ
INFO:root:Create record 83 :Symbol-ALPHAGEO, Date-2020-10-01, Series-EQ
INFO:root:Create record 84 :Symbol-ALPSINDUS, Date-2020-10-01, Series-EQ
INFO:root:Create record 85 :Symbol-AMARAJABAT, Date-2020-10-01, Series-EQ
INFO:root:Create record 86 :Symbol-AMBER, Date-2020-10-01, Series-EQ
INFO:root:Create record 87 :Symbol-AMBIKCO, Date-2020-10-01, Series-EQ
INFO:root:Create record 88 :Symbol-AMBUJACEM, Date-2020-10-01, Series-EQ
INFO:root:Create record 89 :Symbol-AMDIND, Date-2020-10-01, Series-EQ
INFO:root:Create record 90 :Symbol-AMJLAND, Date-2020-10-01, Series-EQ
INFO:root:Create record 91 :Symbol-AMRUTANJAN, Date-2020-10-01, Series-EQ
INFO:root:Create record 92 :Symbol-ANANTRAJ, Date-2020-10-01, Series-EQ
INFO:root:Create record 93 :Symbol-ANDHRACEMT, Date-2020-10-01, Series-EQ
INFO:root:Create record 94 :Symbol-ANDHRAPAP, Date-2020-10-01, Series-EQ
INFO:root:Create record 95 :Symbol-ANDHRSUGAR, Date-2020-10-01, Series-EQ
INFO:root:Create record 96 :Symbol-ANIKINDS, Date-2020-10-01, Series-EQ
INFO:root:Create record 97 :Symbol-ANKITMETAL, Date-2020-10-01, Series-BE
INFO:root:Create record 98 :Symbol-ANSALAPI, Date-2020-10-01, Series-EQ
INFO:root:Create record 99 :Symbol-ANSALHSG, Date-2020-10-01, Series-EQ
INFO:root:Create record 100 :Symbol-ANUP, Date-2020-10-01, Series-EQ
INFO:root:Create record 101 :Symbol-APARINDS, Date-2020-10-01, Series-EQ
INFO:root:Create record 102 :Symbol-APCL, Date-2020-10-01, Series-EQ
INFO:root:Create record 103 :Symbol-APCOTEXIND, Date-2020-10-01, Series-EQ
INFO:root:Create record 104 :Symbol-APEX, Date-2020-10-01, Series-EQ
INFO:root:Create record 105 :Symbol-APLAPOLLO, Date-2020-10-01, Series-EQ
INFO:root:Create record 106 :Symbol-APLLTD, Date-2020-10-01, Series-EQ
INFO:root:Create record 107 :Symbol-APOLLO, Date-2020-10-01, Series-EQ
INFO:root:Create record 108 :Symbol-APOLLOHOSP, Date-2020-10-01, Series-EQ
INFO:root:Create record 109 :Symbol-APOLLOPIPE, Date-2020-10-01, Series-EQ
INFO:root:Create record 110 :Symbol-APOLLOTYRE, Date-2020-10-01, Series-EQ
INFO:root:Create record 111 :Symbol-APOLSINHOT, Date-2020-10-01, Series-EQ
INFO:root:Create record 112 :Symbol-APTECHT, Date-2020-10-01, Series-EQ
INFO:root:Create record 113 :Symbol-ARCHIDPLY, Date-2020-10-01, Series-EQ
INFO:root:Create record 114 :Symbol-ARCHIES, Date-2020-10-01, Series-EQ
INFO:root:Create record 115 :Symbol-ARCOTECH, Date-2020-10-01, Series-BE
INFO:root:Create record 116 :Symbol-ARENTERP, Date-2020-10-01, Series-EQ
INFO:root:Create record 117 :Symbol-ARIES, Date-2020-10-01, Series-EQ
INFO:root:Create record 118 :Symbol-ARIHANT, Date-2020-10-01, Series-EQ
INFO:root:Create record 119 :Symbol-ARIHANTSUP, Date-2020-10-01, Series-EQ
INFO:root:Create record 120 :Symbol-ARMANFIN, Date-2020-10-01, Series-EQ
INFO:root:Create record 121 :Symbol-AROGRANITE, Date-2020-10-01, Series-EQ
INFO:root:Create record 122 :Symbol-ARROWGREEN, Date-2020-10-01, Series-EQ
INFO:root:Create record 123 :Symbol-ARSHIYA, Date-2020-10-01, Series-EQ
INFO:root:Create record 124 :Symbol-ARSSINFRA, Date-2020-10-01, Series-EQ
