,Index,Date,Open,High,Low,Close,Shares Traded,Turnover
49,NIFTY100,20190813,11248.0,11253.2,11004.9,11027.4,1034564056,29466.84
50,NIFTY100,20190814,11096.7,11178.2,11036.1,11133.75,868086016,25506.57
51,NIFTY100,20190816,11141.95,11172.8,11029.1,11154.55,895118491,23332.94
52,NIFTY100,20190819,11200.25,11251.45,11144.0,11158.95,645261155,18027.94
53,NIFTY100,20190820,11169.0,11179.35,11083.9,11115.6,774295643,20932.05
54,NIFTY100,20190821,11119.05,11131.15,11000.75,11012.0,868735164,20896.08
55,NIFTY100,20190822,10999.1,11001.8,10815.45,10836.85,1109590806,23878.59
56,NIFTY100,20190823,10797.25,10958.95,10730.9,10925.9,1072172091,25729.56
57,NIFTY100,20190826,11098.75,11164.05,10852.45,11152.65,1147522062,27569.8
58,NIFTY100,20190827,11201.8,11249.35,11154.5,11213.7,1202290996,37681.31
59,NIFTY100,20190828,11212.85,11239.25,11096.7,11154.55,912210588,21010.36
60,NIFTY100,20190829,11107.6,11135.85,11034.3,11069.3,989250934,23992.56
61,NIFTY100,20190830,11110.1,11174.35,11002.2,11155.1,971311298,26138.2
62,NIFTY100,20190903,11092.1,11098.1,10900.45,10925.2,722969994,21112.26
63,NIFTY100,20190904,10919.95,10977.05,10861.95,10964.3,776602270,23428.9
64,NIFTY100,20190905,10983.05,11043.25,10945.8,10975.0,842545723,22153.36
65,NIFTY100,20190906,11011.5,11078.25,10989.5,11068.15,756179287,21658.81
66,NIFTY100,20190909,11059.35,11147.7,11015.3,11122.95,616866329,17659.13
67,NIFTY100,20190911,11147.9,11179.05,11129.45,11161.65,1042362202,25844.35
68,NIFTY100,20190912,11185.5,11212.3,11096.45,11113.5,859345190,21580.36
69,NIFTY100,20190913,11122.0,11213.65,11071.1,11205.1,929292369,22313.99
70,NIFTY100,20190916,11123.9,11186.55,11100.65,11139.85,650416707,19764.77
71,NIFTY100,20190917,11137.15,11137.15,10931.55,10951.55,851220149,22055.91
72,NIFTY100,20190918,11007.9,11020.0,10938.25,10980.8,798888585,20215.8
73,NIFTY100,20190919,10986.45,10986.45,10812.7,10848.85,1120155190,19913.7
74,NIFTY100,20190920,10891.55,11524.0,10831.4,11432.0,2045265251,63828.6
75,NIFTY100,20190923,11692.05,11837.65,11630.3,11746.25,1338329722,48476.23
76,NIFTY100,20190924,11741.25,11797.8,11685.75,11737.45,965535012,32024.36
77,NIFTY100,20190925,11713.1,11713.55,11558.75,11581.6,934419558,30170.99
78,NIFTY100,20190926,11609.5,11751.15,11606.3,11714.85,1196607574,36975.92
79,NIFTY100,20190927,11700.65,11741.15,11651.25,11663.5,979136708,24793.69
80,NIFTY100,20190930,11643.55,11653.9,11532.1,11613.3,1439560001,31437.98
81,NIFTY100,20191001,11655.5,11694.6,11380.8,11497.5,1876909436,36949.56
82,NIFTY100,20191003,11458.9,11504.6,11393.55,11444.8,1395458125,27633.14
83,NIFTY100,20191004,11516.45,11529.1,11287.5,11303.4,1247901278,27634.63
84,NIFTY100,20191007,11320.55,11349.05,11225.3,11239.05,1061142532,24355.74
85,NIFTY100,20191009,11263.8,11431.4,11200.95,11423.65,1204890333,27251.82
86,NIFTY100,20191010,11390.1,11404.65,11320.4,11345.0,1254008680,25731.48
87,NIFTY100,20191011,11368.9,11468.95,11299.5,11412.95,1159991457,29424.98
88,NIFTY100,20191014,11444.6,11530.6,11403.9,11455.7,973252899,23123.85
89,NIFTY100,20191015,11475.15,11575.75,11457.65,11544.45,897267904,25690.47
90,NIFTY100,20191016,11580.8,11602.75,11537.55,11588.65,1093555770,27875.82
91,NIFTY100,20191017,11592.6,11730.25,11567.3,11718.35,1269119374,28009.87
92,NIFTY100,20191018,11715.1,11828.15,11688.05,11806.2,1266569197,29509.97
93,NIFTY100,20191022,11806.05,11863.55,11733.5,11749.9,1288981608,37867.95
94,NIFTY100,20191023,11758.85,11812.95,11713.9,11762.45,1047120652,29470.24
95,NIFTY100,20191024,11817.45,11836.35,11690.85,11738.25,1675387538,31195.55
96,NIFTY100,20191025,11794.5,11795.35,11641.95,11734.35,-,-
97,NIFTY100,20191027,11814.1,11824.8,11761.0,11782.5,274741328,4386.81
98,NIFTY100,20191029,11796.4,11961.75,11779.75,11942.05,1602095073,34384.78
99,NIFTY100,20191030,12033.4,12038.1,11943.1,12002.95,1290447981,32297.57
100,NIFTY100,20191031,12050.35,12099.1,12014.35,12037.25,2125487687,38729.7
101,NIFTY100,20191101,12049.25,12082.05,12011.6,12047.8,1908441647,31986.59
102,NIFTY100,20191104,12084.15,12140.6,12056.35,12089.15,1247189596,29637.89
103,NIFTY100,20191105,12119.35,12123.8,12004.15,12056.15,1037106079,28097.58
104,NIFTY100,20191106,12051.6,12139.6,11991.05,12104.2,1029509863,30410.03
105,NIFTY100,20191107,12160.25,12161.6,12090.35,12152.95,1050826641,29804.0
106,NIFTY100,20191108,12133.05,12173.95,12026.4,12044.85,1333744868,32266.89
107,NIFTY100,20191111,12015.9,12071.05,12000.5,12053.3,950926939,23303.28
108,NIFTY100,20191113,12053.65,12099.0,11961.75,11980.65,1159719494,28278.91
109,NIFTY100,20191114,11998.1,12029.45,11935.85,12001.1,1378079286,25931.24
110,NIFTY100,20191115,12034.55,12096.1,12008.55,12022.8,1653923262,28775.35
111,NIFTY100,20191118,12043.9,12071.35,11995.2,12010.9,1272353250,23482.06
112,NIFTY100,20191119,12041.4,12071.95,12000.85,12054.7,1906401025,32644.39
113,NIFTY100,20191120,12117.35,12156.35,12083.8,12116.2,2681802230,31773.66
114,NIFTY100,20191121,12146.05,12148.25,12070.9,12082.7,1654076974,28513.56
115,NIFTY100,20191122,12083.2,12083.95,11999.5,12031.2,1146476236,25723.43
116,NIFTY100,20191125,12039.95,12203.15,12037.3,12192.65,1295685591,26960.5
117,NIFTY100,20191126,12230.95,12255.15,12117.6,12150.7,2947394322,69911.56
