trade_date,tradingsymbol,exchange,segment,trade_type,quantity,price,order_id,trade_id,order_execution_time
2019-06-14,WIPRO,NSE,EQ,buy,2.0,299.45,1300000000155327,75285539,2019-06-14T09:31:24
2019-06-14,ADANIPOWER,NSE,EQ,buy,10.0,48.85,1000000004504009,1560403,2019-06-14T13:48:31
2019-06-14,WIPRO,NSE,EQ,sell,2.0,298.65,1300000000911368,77980843,2019-06-14T15:21:48
2019-06-25,RELIANCE,NSE,EQ,buy,2.0,1296.95,1300000007713456,77724949,2019-06-25T15:08:49
2019-06-27,RELIANCE,NSE,EQ,buy,3.0,1288.45,1300000001937236,75699918,2019-06-27T10:06:35
2019-07-04,ADANIPOWER,NSE,EQ,buy,10.0,65.85,1000000001143952,373987,2019-07-04T09:49:30
2019-07-05,SBIN,NSE,EQ,buy,4.0,369.95,1300000006540319,77419227,2019-07-05T13:45:40
2019-07-31,RELIANCE,NSE,EQ,sell,1.0,1166.6,1300000006907873,77626773,2019-07-31T13:56:38
2019-07-31,RELIANCE,NSE,EQ,sell,1.0,1166.55,1300000006907873,77626774,2019-07-31T13:56:38
2019-07-31,RELIANCE,NSE,EQ,sell,3.0,1166.5,1300000006907873,77626775,2019-07-31T13:56:38
2019-08-06,SBIN,NSE,EQ,sell,4.0,300.25,1300000005388914,77187737,2019-08-06T12:23:16
2019-08-07,ADANIPOWER,NSE,EQ,buy,10.0,60.8,1000000002824879,952984,2019-08-07T11:03:44
2019-08-09,ADANIPOWER,NSE,EQ,buy,20.0,60.25,1000000001892862,580425,2019-08-09T10:14:54
2019-08-13,RELIANCE,NSE,EQ,buy,10.0,1233.15,1300000000074098,75003815,2019-08-13T09:07:47
2019-08-14,TECHM,NSE,EQ,buy,3.0,660.05,1300000008433682,78542957,2019-08-14T15:21:26
2019-08-16,ITC,NSE,EQ,buy,2.0,252.85,1100000005510078,27832033,2019-08-16T13:49:17
2019-08-16,ITC,NSE,EQ,buy,2.0,252.85,1100000005510078,27832034,2019-08-16T13:49:17
2019-09-13,TITAN,NSE,EQ,buy,1.0,1117.45,1300000006066076,77007800,2019-09-13T13:33:10
2019-09-20,INDUSINDBK,NSE,EQ,buy,4.0,1435.0,1100000008198251,27931981,2019-09-20T12:22:35
2019-09-20,SBIN,NSE,EQ,buy,6.0,297.95,1300000010256336,78653275,2019-09-20T12:42:13
2019-09-23,ITC,NSE,EQ,sell,4.0,255.1,1100000008917128,28933202,2019-09-23T13:22:23
2019-09-23,TECHM,NSE,EQ,sell,3.0,683.7,1300000008991668,78369522,2019-09-23T13:23:37
2019-09-23,RELIANCE,NSE,EQ,sell,2.0,1249.2,1300000008999970,78374452,2019-09-23T13:23:52
2019-09-23,RELIANCE,NSE,EQ,sell,6.0,1249.2,1300000008999970,78374451,2019-09-23T13:23:52
2019-09-23,RELIANCE,NSE,EQ,sell,2.0,1249.2,1300000008999970,78374453,2019-09-23T13:23:52
2019-09-23,SBIN,NSE,EQ,sell,6.0,310.3,1300000009407418,78551761,2019-09-23T13:38:07
2019-09-25,TECHM,NSE,EQ,buy,5.0,707.85,1300000003549198,76448472,2019-09-25T11:19:00
2019-10-03,TITAN,NSE,EQ,buy,2.0,1288.8,1300000002053435,75707037,2019-10-03T09:42:38
2019-10-03,RELIANCE,NSE,EQ,buy,3.0,1304.3,1300000004595207,76659849,2019-10-03T10:55:26
2019-10-03,RELIANCE,NSE,EQ,buy,2.0,1310.0,1300000004928850,76792382,2019-10-03T11:11:48
2019-10-07,INDUSINDBK,NSE,EQ,sell,4.0,1225.0,1100000000742637,25202422,2019-10-07T09:28:32
2019-10-16,RELIANCE,NSE,EQ,buy,2.0,1368.1,1300000004719529,76733301,2019-10-16T12:45:51
2019-10-22,BPCL,NSE,EQ,buy,10.0,532.0,1000000000012795,3253,2019-10-22T09:07:46
2019-10-27,HDFC,NSE,EQ,buy,2.0,2105.8,1100000000343871,25119974,2019-10-27T18:19:35
2019-10-27,ASHOKLEY,NSE,EQ,buy,10.0,76.1,1000000000259587,65377,2019-10-27T18:20:00
2019-10-27,ITC,NSE,EQ,buy,4.0,249.9,1100000000366783,25129747,2019-10-27T18:20:16
2019-10-27,HDFC,NSE,EQ,buy,1.0,2107.4,1100000000413500,25151185,2019-10-27T18:21:48
2019-10-27,ASHOKLEY,NSE,EQ,buy,5.0,76.15,1000000000326652,85114,2019-10-27T18:22:16
2019-10-27,ITC,NSE,EQ,buy,3.0,250.1,1100000000441525,25165186,2019-10-27T18:22:48
2019-11-05,YESBANK,NSE,EQ,buy,50.0,70.3,1300000000052812,75007496,2019-11-05T09:07:19
2019-12-19,YESBANK,NSE,EQ,sell,50.0,46.0,1300000000029108,75005507,2019-12-19T09:07:27
2019-12-20,RELIANCE,NSE,EQ,buy,2.0,1615.0,1300000000029661,75000579,2019-12-20T09:07:35
